dasid;StandardTitle;Citation;AccessConstraint;AccConNotes
4388;Phytoplankton data collected in deep waters of the halistatic region of the Black Sea in September 1948;Phytoplankton data collected in deep waters of the halistatic region of the Black Sea in September 1948.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.;Attribution (CC BY);NULL
4389;Phytoplankton data of Sevastopol Bay of the Black Sea during 1972;Phytoplankton data of Sevastopol Bay of the Black Sea, 1972.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.;Attribution (CC BY);NULL
4390;Phytoplankton samples collected near Sochi, Black Sea, in 1974-1975;Phytoplankton samples collected near Sochi, Black Sea, in 1974-1975.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.;Attribution (CC BY);NULL
4391;Phytoplankton data from the Sukhumi region, Black Sea, collected in November 1948;Phytoplankton data from the Sukhumi region, Black Sea, collected in November 1948.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.;Attribution (CC BY);NULL
4392;Phytoplankton data collected near Yalta, Black Sea, in June 1950;Phytoplankton data collected near Yalta, Black Sea, in June 1950.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.;Attribution (CC BY);NULL
4393;Zooplankton data collected during cruises on the R/V Knipovich in April 1950;Zooplankton data collected during cruises on the R/V Knipovich in April 1950.  Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.;Attribution (CC BY);NULL
4394;Hyperbenthos community in the salt marsh of Saeftinghe in 1990 and 1991;"Dankwa H.R.; Hamerlynck O.; Fundamental and Applied Marine Ecology Post Graduate Program (FAME). VUB; Marine Biology Section, Zoology Institute. Ugent: Belgium; (2016): Hyperbenthos community in the salt marsh of Saeftinghe in 1990 and 1991. (http://www.vliz.be/en/imis?module=dataset&dasid=4394)";Attribution (CC BY);NULL
4396;Interstitial Turbellaria in the Dutch Delta 1978-1979;"Martens P.; Coomans A.; Faculteit Wetenschappen. RUG: Belgium; (2016): Interstitial Turbellaria of the Dutch Delta area (1978-1979). (http://www.vliz.be/en/imis?module=dataset&dasid=4396)";Attribution (CC BY);NULL
4397;Phytoplankton collected in the Mediterranean Sea in 1959 on board the R/V Akademik S. Vavilov;Phytoplankton collected in the Mediterranean Sea in 1959 on board the R/V Akademik S. Vavilov. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.;Attribution (CC BY);
4398;"Zooplankton monitoring RADIALES - section off Vigo (NW Spain, Galicia); coastal (station depth 39m)";"Miranda, A.; Instituto Español de Oceanografía (IEO); (2015): Zooplankton monitoring RADIALES: Section off Vigo (NW Spain, Galicia); coastal (station depth 39m)";Attribution (CC BY);NULL
4399;"Zooplankton monitoring RADIALES - section off Vigo (NW Spain, Galicia); mid-shelf (station depth 97 m)";"Miranda, A.; Instituto Español de Oceanografía (IEO); (2015): Zooplankton monitoring RADIALES: Section off Vigo (NW Spain, Galicia); mid-shelf (station depth 97m)";Attribution (CC BY);NULL
4400;"Zooplankton monitoring RADIALES - section off A Coruña (NW Spain, Galicia); inner-shelf (station depth 77m)";"Álvarez Ossorio M., Bode A.; Instituto Español de Oceanografía (IEO); (2015): Zooplankton monitoring RADIALES: Section off A Coruña (NW Spain, Galicia); inner-shelf (station depth 77m)";Attribution (CC BY);NULL
4401;"Zooplankton monitoring RADIALES - section off Gijón (N Spain, Cantrabrian Sea); mid-shelf (station depth 130m)";"Cabal J.; Instituto Español de Oceanografía (IEO); (2015): Zooplankton monitoring RADIALES: Section off Gijón (N Spain, Cantabrian Sea); mid-shelf (station depth 130m)";Attribution (CC BY);NULL
4402;"Zooplankton monitoring RADIALES - section off Santander (N Spain, Cantrabrian Sea); coastal (station depth 30m)";"Valdés L.; Instituto Español de Oceanografía (IEO); (2015): Zooplankton monitoring RADIALES: Section off Santander (N Spain, Cantabrian Sea); coastal (station depth 30m)";Attribution (CC BY);NULL
4403;"Zooplankton monitoring RADIALES - section off Santander (N Spain, Cantrabrian Sea); mid-shelf (station depth 110m)";"Valdés L.; Instituto Español de Oceanografía (IEO); (2015): Zooplankton monitoring RADIALES: Section off Santander (N Spain, Cantabrian Sea); mid-shelf (station depth 110m)";Attribution (CC BY);NULL
4404;"Zooplankton monitoring RADIALES - section off Santander (N Spain, Cantrabrian Sea); oceanic (station depth 850m)";"Valdés, L.; Instituto Español de Oceanografía (IEO); (2015): Zooplankton monitoring RADIALES - section off Santander (N Spain, Cantrabrian Sea); oceanic (station depth 850m)";Attribution (CC BY);NULL
4406;"Phytoplankton monitoring RADIALES - Section off Vigo (NW Spain, Galicia); coastal (station depth 39m); sampling depths 0, 5, 10 and 30m";"Reguera, B.; Instituto Español de Oceanografía (IEO); (2015): Phytoplankton monitoring RADIALES: Section off Vigo (NW Spain, Galicia); coastal (station depth 39m); sampling depths 0, 5, 10 and 30m";Attribution (CC BY);NULL
4407;"Phytoplankton monitoring RADIALES - Section off Vigo (NW Spain, Galicia); mid-shelf (station depth 97m); sampling depths 0, 5, 10, 20 and 30m";"Reguera, B.; Instituto Español de Oceanografía (IEO); (2015): Phytoplankton monitoring RADIALES: Section off Vigo (NW Spain, Galicia); mid-shelf (station depth 97m); sampling depths 0, 5, 10, 20 and 30m";Attribution (CC BY);NULL
4408;"Phytoplankton monitoring RADIALES - Section off A Coruña (NW Spain, Galicia); inner-shelf (station depth 77m); sampling depths 0, 5, 10, 20 and 30m";"Varela M., Bode A.; Instituto Español de Oceanografía (IEO); (2015): Phytoplankton monitoring RADIALES: Section off A Coruña (NW Spain, Galicia); inner-shelf (station depth 77m); sampling depths 0, 5, 10, 20 and 30m";Attribution (CC BY);NULL
4409;"Phytoplankton monitoring RADIALES - Section off Cudillero (N Spain, Cantabrian Sea); mid-shelf (station depth 130m); sampling depths 0, 5, 10,30, 40 and 70m";"Acuña J.L.; Instituto Español de Oceanografía (IEO); (2015): Phytoplankton monitoring RADIALES: Section off Cudillero (N Spain, Cantabrian Sea); mid-shelf (station depth 130m); sampling depths 0, 5, 10,30, 40 and 70m";Attribution (CC BY);NULL
4410;"Phytoplankton monitoring RADIALES - Section off Gijón (N Spain, Cantabrian Sea); mid-shelf (station depth 108m); sampling depths 0, 35 and 70m";"Scharek R.; Instituto Español de Oceanografía (IEO); (2015): Phytoplankton monitoring RADIALES: Section off Gijón (N Spain, Cantabrian Sea); mid-shelf (station depth 108m); sampling depths 0, 35 and 70m";Attribution (CC BY);NULL
4413;Portuguese International Bottom Trawl Survey;Fish trawl survey: Portuguese International bottom trawl survey. ICES Database of trawl surveys (DATRAS). The International Council for the Exploration of the Sea, Copenhagen. 2010. Online source: http://ecosystemdata.ices.dk.;Licence ;ICES Data Policy: http://www.ices.dk/marine-data/guidelines-and-policy/Pages/ICES-data-policy.aspx
4415;Spanish North Coast Bottom Trawl Survey for commercial fish species;Fish trawl survey: Spanish north coast bottom trawl survey for commercial fish species. ICES Database of trawl surveys (DATRAS). The International Council for the Exploration of the Sea, Copenhagen. 2010. Online source: http://ecosystemdata.ices.dk.;Attribution (CC BY);NULL
4416;Spanish Porcupine Bottom Trawl Survey for commercial fish species;Fish trawl survey: Spanish Porcupine bottom trawl survey for commercial fish species. ICES Database of trawl surveys (DATRAS). The International Council for the Exploration of the Sea, Copenhagen. 2010. Online source: http://ecosystemdata.ices.dk.;Attribution (CC BY);NULL
4418;North Sea cod and plaice egg surveys (2004, 2009);ICES North Sea cod and plaice egg surveys (2004, 2009). Available online at http://eggsandlarvae.ices.dk ICES, Copenhagen. Consulted on yyyy-mm-dd.;Attribution (CC BY);ICES Data Policy: https://www.ices.dk/data/guidelines-and-policy/Pages/ICES-data-policy.aspx
4405;Microphytoplankton along four transects off the Kenyan coast in 1992;"Wawiye O.; Tackx M.; Fundamental and Applied Marine Ecology Post Graduate Program (FAME); Laboratory for Ecology and Systematics. VUB: Belgium; (2015): Microphytoplankton along four transects off the Kenyan coast in 1992. (http://www.vliz.be/en/imis?module=dataset&dasid=4405)";Attribution (CC BY);NULL
4414;Ichthyofauna of a Kenyan seagrass bed and the diet of <i>Plotosus lineatus</i> (Gazi Bay, August 1993);"Van Waeyenberge J.; Mees J.; Marine Biology Section, Zoology Institute. Ugent: Belgium; (2016): Ichthyofauna of a Kenyan seagrass bed and the diet of Plotosus lineatus (Gazi Bay, August 1993). (http://www.vliz.be/en/imis?module=dataset&dasid=4414)";Attribution (CC BY);NULL
4419;North Sea Midwater Ring Net Herring Larvae Survey;ICES Herring Larvae Survey (1977-2013). Available online at http://eggsandlarvae.ices.dk ICES, Copenhagen. Consulted on yyyy-mm-dd.;Licence ; ICES Data Policy: https://www.ices.dk/data/Documents/ICES-Data-policy.pdf
4420;Atlantic Anguilla surveys (1862-2007);ICES. Atlantic Anguilla surveys (1862-2007). Available online at http://eggsandlarvae.ices.dk. Consulted on yyyy-mm-dd.;Attribution (CC BY);ICES Data Policy: https://www.ices.dk/data/guidelines-and-policy/Pages/ICES-data-policy.aspx
4421;Mackerel and horse mackerel eggs surveys;ICES. Mackerel and horse mackerel eggs surveys. Available online at http://eggsandlarvae.ices.dk. Consulted on yyyy-mm-dd.;Licence ;ICES Data Policy: http://www.ices.dk/marine-data/guidelines-and-policy/Pages/ICES-data-policy.aspx
4423;The International Herring Larvae Surveys;ICES. The International Herring Larvae Surveys. Available online at http://eggsandlarvae.ices.dk. Consulted on yyyy-mm-dd.;Attribution (CC BY);ICES Data Policy: https://www.ices.dk/data/guidelines-and-policy/Pages/ICES-data-policy.aspx
4424;ICES Phytoplankton Community dataset;ICES Environmental Database (DOME), Phytoplankton community. Available online at http://dome.ices.dk. ICES, Copenhagen. Consulted on yyyy-mm-dd.;Attribution (CC BY);ICES Data Policy: https://www.ices.dk/data/guidelines-and-policy/Pages/ICES-data-policy.aspx
4425;ICES Zoobenthos Community dataset;ICES Environmental Database (DOME), Zoobenthos community. Available online at http://dome.ices.dk. ICES, Copenhagen. Consulted on yyyy-mm-dd.;Attribution (CC BY);ICES Data Policy: https://www.ices.dk/data/guidelines-and-policy/Pages/ICES-data-policy.aspx
4422;Phytal harpacticoid fauna at Gazi creek, McKenzie Point and Fort Jesus (1986-1988);"Demeulenaere B.; Bergmans M.; Faculteit Wetenschappen; Laboratorium voor Ecologie en Systematiek. VUB: Belgium; (2016): Phytal harpacticoid fauna at Gazi creek, McKenzie Point and Fort Jesus (1986-1988). (http://www.vliz.be/en/imis?module=dataset&dasid=4422)";Attribution (CC BY);NULL
4426;Epiphytic meiofauna and nematode community from seagrasses in Gazi and Nyali (Kenya) sampled in August 1989;"Van Avermaet P.; Coomans A.; Laboratoria voor Morfologie en Systematiek; Museum voor Dierkunde. RUG: Belgium; (2016): Epiphytic meiofauna and nematode community from seagrasses in Gazi and Nyali (Kenya) sampled in August 1989. (http://www.vliz.be/en/imis?module=dataset&dasid=4426)";Attribution (CC BY);NULL
4427;Counts of hyperbenthos of Gazi Bay (Kenya) sampled in October 1994;"Luhunga B.Y.; Mees J.; Fundamental and Applied Marine Ecology Post Graduate Program (FAME). VUB; Marine Biology Section, Zoology Institute. Ugent: Belgium; (2016): Counts of hyperbenthos of Gazi Bay (Kenya) sampled in October 1994. (http://www.vliz.be/en/imis?module=dataset&dasid=4427)";Attribution (CC BY);NULL
4428;Seasonal fluctuation of the meiobenthos community in <i>Avicennia marina</i> mangrove sediments at Gazi Bay (Kenya) between 1992 and 1993;"Okondo J.; Vincx M.; Fundamental and Applied Marine Ecology Post Graduate Program (FAME). VUB; Marine Biology Section, Zoology Institute. Ugent: Belgium; (2016): Seasonal fluctuation of the meiobenthos community in Avicennia marina mangrove sediments at Gazi Bay (Kenya) between 1992 and 1993. (http://www.vliz.be/en/imis?module=dataset&dasid=4428)";Attribution (CC BY);NULL
4430;Zooplankton collected in the Mediterranean Sea in 1959 on board the R/V Akademik S. Vavilov;Zooplankton collected in the Mediterranean Sea in 1959 on board the R/V Akademik S. Vavilov. Institute of Biology of the Southern Seas of the National Academy of Sciences of Ukraine.;Attribution (CC BY);NULL
4431;ICES Zooplankton Community dataset;ICES Environmental Database (DOME), Zooplankton community. Available online at http://eggsandlarvae.ices.dk. ICES, Copenhagen. Consulted on yyyy-mm-dd.;Attribution (CC BY);ICES Data Policy: https://www.ices.dk/data/guidelines-and-policy/Pages/ICES-data-policy.aspx
4429;Eggs and larvae;ICES. Eggs and larvae dataset (1863-2013). Available online at http://eggsandlarvae.ices.dk. Consulted on yyyy-mm-dd.;Licence ;ICES Data Policy: http://www.ices.dk/marine-data/guidelines-and-policy/Pages/ICES-data-policy.aspx
4435;MARBUNN benthos database;NULL;Attribution (CC BY);NULL
4436;IMR Zooplankton Barents Sea;"Knutsen, T.;  Dalpadado, P. (2014). IMR Zooplankton Barents Sea.  Institute of Marine Research, Norway";Attribution (CC BY);NULL
4437;IMR Zooplankton Norwegian Sea;Broms, C. (2014). IMR Zooplankton Norwegian Sea. Institute of Marine Research, Norway;Attribution (CC BY);NULL
4438;IMR Zooplankton North Sea;Falkenhaug, T. (2014). IMR Zooplankton North Sea. Institute of Marine Research, Norway;Attribution (CC BY);NULL
4439;IMR Fish eggs survey;"Nash, R.; Bakkeplass, K. (2015). IMR Fish eggs survey. Institute of Marine Research, Norway";Attribution (CC BY);NULL
4440;IMR Herring larvae monitoring;Stenevik, E. (2014). IMR Herring larvae monitoring. Institute of Marine Research, Norway;Attribution (CC BY);NULL
4442;IMR Capelin larvae monitoring;Eriksen, E. (2014). IMR Capelin larvae monitoring. Institute of Marine Research, Norway;Attribution (CC BY);NULL
4443;IMR Juvenile fish monitoring;Bakkeplass, K. (2014). IMR Juvenile fish monitoring. Institute of Marine Research, Norway;Attribution (CC BY);NULL
4444;IMR Macroplankton surveys;Bakkeplass, K. (2014). IMR Macroplankton surveys. Institute of Marine Research, Norway;Attribution (CC BY);NULL
4445;Vegetation of the tidal channels in Gazi Bay (Kenya) sampled between July and September 1989;"de Pauw K.; Coppejans E.; Faculteit Bio-ingenieurswetenschappen; Laboratorium Plantkunde; Vakgroep Biologie; Faculteit Wetenschappen. Universiteit Gent: Belgium; (2016): Vegetation of the tidal channels in Gazi Bay (Kenya) sampled between July and September 1989. (http://www.vliz.be/en/imis?module=dataset&dasid=4445)";Attribution (CC BY);NULL
4446;Presence of the genus <i>Dictyopteris</i> (Dictyotales, Phaeophyta) in the western Indian Ocean between 1985 and 1999;"De Smet I.; Coppejans E.; Laboratorium Plantkunde; Vakgroep Biologie; Faculteit Wetenschappen. Universiteit Gent: Belgium; (2016): Presence of the genus Dictyopteris (Dictyotales, Phaeophyta) in the western Indian Ocean between 1985 and 1999. (http://www.vliz.be/en/imis?module=dataset&dasid=4446)";Attribution (CC BY);NULL
4441;Abundance and habitat of echinoderms collected during the Bangor-Watamu Expedition in 1969;"Humphreys W.F.; Western Australia Museum: Australia; (2016): Abundance and habitat of echinoderms collected during the Bangor-Watamu Expedition in 1969. (http://www.vliz.be/en/imis?module=dataset&dasid=4441)";Attribution (CC BY);NULL
4433;An experimental approach to study epi-and infauna of mangrove forests in Gazi Bay (Kenya) between August 1992 and July 1993;"Schrijvers J.; Coomans A.; Vakgroep Biologie; Faculteit Wetenschappen. Ugent: Belgium; (2015): An experimental approach to study epi-and infauna of mangrove forests in Gazi Bay (Kenya) between August 1992 and July 1993. (http://www.vliz.be/en/imis?module=dataset&dasid=4433)";Attribution (CC BY);NULL
4447;Epibenthos and demersal fish monitoring in function of aggregate extraction in the Belgian part of the North Sea;"Bio-environmental research groups; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2019): Epibenthos and demersal fish monitoring in function of aggregate extraction in the Belgian part of the North Sea.";Attribution (CC BY);NULL
4448;Epibenthos and demersal fish monitoring in function of dredge disposal monitoring in the Belgian part of the North Sea;"Bio-environmental research group; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2015): Epibenthos and demersal fish monitoring in function of dredge disposal monitoring in the Belgian part of the North Sea.";Attribution (CC BY);NULL
4449;Epibenthos and demersal fish monitoring data in function of wind energy development in the Belgian part of the North Sea;"Bio-environmental research group; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2015): Epibenthos and demersal fish monitoring data in function of wind energy development in the Belgian part of the North Sea.";Attribution (CC BY);NULL
4450;Epibenthos and demersal fish monitoring at long-term monitoring stations in the Belgian part of the North Sea;"Bio-environmental research group; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2015): Epibenthos and demersal fish monitoring at long-term monitoring stations in the Belgian part of the North Sea";Attribution (CC BY);NULL
4451;Macrobenthos monitoring in function of aggregate extraction activities in the Belgian part of the North Sea;"Bio-environmental research group; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2019): Macrobenthos monitoring in function of aggregate extraction activities in the Belgian part of the North Sea";Attribution (CC BY);NULL
4452;Macrobenthos monitoring in function of dredge disposal monitoring in the Belgian part of the North Sea;"Bio-environmental research group; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2019): Macrobenthos monitoring in function of dredge disposal monitoring in the Belgian part of the North Sea.";Attribution (CC BY);NULL
4453;Macrobenthos monitoring at long-term monitoring stations in the Belgian part of the North Sea between 1979 and 1999;"Bio-environmental research group; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2016): Macrobenthos monitoring at long-term monitoring stations in the Belgian part of the North Sea between 1979 and 1999.";Attribution (CC BY);NULL
4454;Macrobenthos monitoring in function of the Water Framework Directive in the period 2007-2009;"Bio-environmental research group; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2015): Macrobenthos monitoring in function of the Water Framework Directive in the period 2007-2009";Attribution (CC BY);NULL
4456;Zooplankton monitoring in the Belgian Part of the North Sea between 2009 and 2010;"Bio-environmental research group; Institute of Agricultural and Fisheries research (ILVO), Belgium; (2015): Zooplankton monitoring in the Belgian Part of the North Sea between 2009 and 2010";Attribution (CC BY);NULL
4457;Presence of the genus <i>Padina</i> (Dictyotales, Phaeophyta) in the western Indian Ocean between 1985 and 1999;"De Smet I.; Coppejans E.; Laboratorium Plantkunde; Vakgroep Biologie; Faculteit Wetenschappen. Universiteit Gent: Belgium; (2016): Presence of the genus Padina (Dictyotales, Phaeophyta) in the western Indian Ocean between 1985 and 1999. (http://www.vliz.be/en/imis?module=dataset&dasid=4457)";Attribution (CC BY);NULL
4458;Cladophorales (Chlorophyta) sampled at the Kenyan coast between 1985 and 1992;"Vackier I.; Van der Veken P.; Laboratorium Plantkunde; Faculteit Wetenschappen. Universiteit Gent: Belgium; (2016): Cladophorales (Chlorophyta) sampled at the Kenyan coast between 1985 and 1992. (http://www.vliz.be/en/imis?module=dataset&dasid=4458)";Attribution (CC BY);NULL
4459;Codiales (Chlorophyta) sampled at Kenya, Zanzibar and the Seychelles between 1985 and 1993;"Van den heede C.; Coppejans E.; Laboratorium Plantkunde; Faculteit Wetenschappen. Universiteit Gent: Belgium; (2016): Codiales (Chlorophyta) sampled at Kenya, Zanzibar and the Seychelles between 1985 and 1993. (http://www.vliz.be/en/imis?module=dataset&dasid=4459)";Attribution (CC BY);NULL
4460;Inventory of intertidal benthic diatoms of Gazi Bay (Kenya) sampled in September 1991;"Van Zele M.; Van der Veken P.; Laboratorium Plantkunde; Faculteit Wetenschappen. Universiteit Gent: Belgium; (2016): Inventory of intertidal benthic diatoms of Gazi Bay (Kenya) sampled in September 1991. (http://www.vliz.be/en/imis?module=dataset&dasid=4460)";Attribution (CC BY);NULL
4461;Caulerpales (Chlorophyta) of the Kenyan coast (July 1985 - September 1989);"Verellen A.; Van der Veken P.; Laboratorium Plantkunde; Faculteit Wetenschappen. Universiteit Gent: Belgium; (2016): Caulerpales (Chlorophyta) of the Kenyan coast (July 1985 - September 1989). (http://www.vliz.be/en/imis?module=dataset&dasid=4461)";Attribution (CC BY);NULL
4485;Ceramiaceae along the East-African coast sampled between 1985 and 1997;"Roels T.; Coppejans E.; Laboratorium Plantkunde; Vakgroep Biologie; Faculteit Wetenschappen. Universiteit Gent: Belgium; (2016): Ceramiaceae along the East-African coast sampled between 1985 and 1997. (http://www.vliz.be/en/imis?module=dataset&dasid=4485)";Attribution (CC BY);NULL
4486;Zooplankton abundance for six 24hrs sampling series across Port Reitz Creek (Mombasa, Kenya) in 1985 and 1986;"Okemwa E.; Kenya Marine and Fisheries Research Institute (KMFRI): Kenya; (2016): Zooplankton abundance for six 24hrs sampling series across Port Reitz Creek (Mombasa, Kenya) in 1985 and 1986. (http://www.vliz.be/en/imis?module=dataset&dasid=4486)";Attribution (CC BY);NULL
4487;Chemical composition of seawater at Gazi, Sabaki River and Malindi for the months December 1986 to April 1987;"Juma B.; Kenya Marine and Fisheries Research Institute (KMFRI): Kenya; (2016): Chemical composition of seawater at Gazi, Sabaki River and Malindi for the months December 1986 to April 1987. (http://www.vliz.be/en/imis?module=dataset&dasid=4487)";Attribution (CC BY);NULL
4480;Siphonocladales (Chlorophyta) sampled at the Kenyan coast between 1985 and 1992;"Verstraete H.; Van der Veken P.; Laboratorium Plantkunde; Faculteit Wetenschappen. Universiteit Gent: Belgium; (2016): Siphonocladales (Chlorophyta) sampled at the Kenyan coast between 1985 and 1992. (http://www.vliz.be/en/imis?module=dataset&dasid=4480)";Attribution (CC BY);NULL
4481;Phytoplankton Adriatic-SESAME Project;"Cabrini,M.; Fornasaro, D. (2014). Phytoplankton Adriatic-SESAME Project. National Institute of Oceanography and Experimental Geophysics (OGS)";Attribution (CC BY);NULL
4482;Zooplankton Adriatic-SESAME Project;"Tirelli,V.; De Olazabal A. (2014). Zooplankton Adriatic-SESAME Project. National Institute of Oceanography and Experimental Geophysics (OGS)";Attribution (CC BY);NULL
4483;Picoplankton Adriatic-SESAME Project;"Del Negro, P.; Celussi, M. (2014). Picoplankton Adriatic-SESAME Project. National Institute of Oceanography and Experimental Geophysics (OGS)";Attribution (CC BY);NULL
4462;Phytoplankton North Adriatic-Gulf of Trieste LTER time-series;"Cabrini, M.; Fonda-Umani, S.; Fornasaro, D.; Virgilio, D. (2018). Phytoplankton North Adriatic-Gulf of Trieste LTER time-series. National Institute of Oceanography and Experimental Geophysics (OGS).";Attribution (CC BY);Please note that this dataset is going to be obsoleted by a revised version. The contact persons could provide you more details.
4463;Microzooplankton North Adriatic-Gulf of Trieste LTER time-series;"Monti, M.; Fonda-Umani, S. (2014). Microzooplankton  North Adriatic-Gulf of Trieste LTER time-series. National Institute of Oceanography and Experimental Geophysics (OGS)";Attribution (CC BY);NULL
4464;Mesozooplankton North Adriatic-Gulf of Trieste LTER time-series;"de Olazabal, A.; Fonda-Umani, S. (2014). Mesozooplankton  North Adriatic-Gulf of Trieste LTER time-series. National Institute of Oceanography and Experimental Geophysics (OGS)";Attribution (CC BY);NULL
4465;Microphytobenthos North Adriatic-Gulf of Trieste LTER time-series;"Cibic, T.; Fonda-Umani, S. (2014). Microphytobenthos  North Adriatic-Gulf of Trieste LTER time-series. National Institute of Oceanography and Experimental Geophysics (OGS)";Attribution (CC BY);NULL
4466;Picoplankton North Adriatic-Gulf of Trieste LTER time-series;"Celussi, M.;  Del Negro, P.; Fonda-Umani, S. (2014). Picoplankton  North Adriatic-Gulf of Trieste LTER time-series. National Institute of Oceanography and Experimental Geophysics (OGS)";Attribution (CC BY);NULL
4467;Phytoplankton North Adriatic-ALPE ADRIA Project;"Cabrini, M.; Fonda-Umani, S. (2014). Phytoplankton North Adriatic-ALPE ADRIA Project. University of Trieste; Marine Biology Laboratory";Attribution (CC BY);NULL
4468;Netplankton North Adriatic-ALPE ADRIA Project;"de Olazabal, A.; Fonda-Umani, S. (2014). Netplankton North Adriatic-ALPE ADRIA Project. University of Trieste; Marine Biology Laboratory";Attribution (CC BY);NULL
4469;Microzooplankton North Adriatic-ALPE ADRIA Project;"Monti, M.; Milani, L., Fonda-Umani, S. (2014). Microzooplankton North Adriatic-ALPE ADRIA Project. University of Trieste; Marine Biology Laboratory";Attribution (CC BY);NULL
4470;Macrobenthos North Adriatic-ALPE ADRIA Project;"Fonda-Umani, S. (2014). Macrobentos North Adriatic-ALPE ADRIA Project. University of Trieste; Marine Biology Laboratory";Attribution (CC BY);NULL
4471;Phytoplankton North Adriatic-INTERREG-FVG Project;"Cabrini, M.; Fonda-Umani, S. (2014). Phytoplankton North Adriatic-INTERREG-FVG Project. University of Trieste; Marine Biology Laboratory";Attribution (CC BY);NULL
4472;Mesozooplankton North Adriatic-INTERREG Project;"de Olazabal, A.; Fonda-Umani, S. (2014). Mesozooplankton North Adriatic-INTERREG Project. University of Trieste; Marine Biology Laboratory";Attribution (CC BY);NULL
4473;Microzooplankton North Adriatic-INTERREG Project;"Monti, M.; Beran, A.; Milani, L., Fonda-Umani, S. (2014). Microzooplankton North Adriatic-INTERREG Project. University of Trieste; Marine Biology Laboratory.";Attribution (CC BY);NULL
4474;Microphytobenthos North Adriatic-INTERREG Project;"Fonda-Umani, S. (2014). Microphytobenthos North Adriatic-INTERREG Project. University of Trieste; Marine Biology Laboratory.";Attribution (CC BY);NULL
4475;Macrobenthos North Adriatic-INTERREG-FVG Project;"Fonda-Umani, S.; Aleffi, F.  (2014). Macrobentos North Adriatic-INTERREG-FVG Project. University of Trieste; Marine Biology Laboratory.";Attribution (CC BY);NULL
4476;Meiobenthos North Adriatic-INTERREG-FVG-Projects;"Fonda-Umani, S. (2014). Meiobenthos North Adriatic-INTERREG-FVG-Projects. University of Trieste; Marine Biology Laboratory.";Attribution (CC BY);NULL
4477;Phytoplankton South Adriatic-PRISMA1-Flussi Project;"Cabrini, M.; Fonda-Umani, S. (2017). Phytoplankton South Adriatic-PRISMA1-Flussi Project. University of Trieste; Marine Biology Laboratory.";Attribution (CC BY);NULL
4478;Microzooplankton South Adriatic-PRISMA1-Flussi Project;"Monti, M.; Fonda-Umani, S. (2017). Microzooplankton South Adriatic-PRISMA1-Flussi Project. University of Trieste; Marine Biology Laboratory.";Attribution (CC BY);NULL
4479;Mesozooplankton South Adriatic-PRISMA1-Flussi Project;"Fonda-Umani, S.; De Olazabal, A. (2017).Mesozooplankton South Adriatic-PRISMA1-Flussi Project. University of Trieste; Marine Biology Laboratory";Attribution (CC BY);NULL
4484;Cetacean sightings along the central Catalan coast made during surveys of the Associació Cetàcea;Giralt, O., Ramallo, C. & Miller, V. 2013. Cetacean sightings along the Catalan coast made during surveys of the Associació Cetàcea. Associació Cetàcea.;Attribution (CC BY);NULL
4491;IMAR/DOP-UAz Underwater macroalgae and invertebrate surveys;NULL;Unrestricted;NULL
4492;ImagDOP Benthic Video Annotations in Condor seamount in 2010;"Gomes-Pereira JN; Institute of Marine Research (IMAR - Azores), Portugal; Department of Oceanography and Fisheries (DOP) - UAC, Portugal (2017) ImagDOP Benthic Video Annotations in Condor seamount in 2010.";Attribution-NonCommercial (CC BY-NC);NULL
4493;COLETA - IMAR/DOP-Uac reference collection from 1977 to 2012;"Institute of Marine Research (IMAR - Azores), Portugal; Department of Oceanography and Fisheries (DOP) - UAC, Portugal (2015): COLETA - IMAR/DOP-Uac reference collection from 1977 to 2012.";Attribution (CC BY);NULL
4494;Danish benthic marine monitoring data from ODAM;"Josefson, A.; Rytter, D.; Department of Bioscience - AU, Denmark; (2015): Danish benthic marine monitoring data from ODAM.";Attribution (CC BY);NULL
4495;Macrofaunal composition and zonation on sandy beaches at Gazi, Kanamai and Malindi Bay Kenya between April and December 1986;"Ruwa R.K.; Kenya Marine and Fisheries Research Institute (KMFRI): Kenya; (2016): Macrofaunal composition and zonation on sandy beaches at Gazi, Kanamai and Malindi Bay Kenya between April and December 1986. (http://www.vliz.be/en/imis?module=dataset&dasid=4495)";Attribution (CC BY);NULL
